cod_zona,glosa_zona,votos_2016,votos_2017,votos_2020,electores_2016,electores_2017,electores_2020,electores_2021,part_2016,part_2017,part_2020
2521,DIEGO DE ALMAGRO,4750,4793,5410,14100,13938,13455,13390,0.3368794326241135,0.3438800401779308,0.402081010776663
2583,DOÑIHUE,8514,8115,9423,17206,17461,18060,18424,0.4948273857956527,0.4647500143176221,0.5217607973421927
2762,EL BOSQUE,32513,62320,75827,139195,139338,138923,137677,0.2335787923416789,0.4472577473481749,0.545820346522894
2829,EL CARMEN,7031,5664,3774,12072,12165,12336,12500,0.5824221338634857,0.4655980271270037,0.3059338521400778
2806,EL MONTE,11837,13366,15075,25688,26123,27418,27822,0.4607988165680473,0.5116563947479232,0.5498212852870377
2566,EL QUISCO,5689,6082,7241,11176,11681,12914,13781,0.5090372226198998,0.5206745997774164,0.5607093077280471
2567,EL TABO,5026,4942,5842,9083,9295,10307,11931,0.5533414070241109,0.5316837009144701,0.5667992626370428
2615,EMPEDRADO,3021,2230,1513,4319,4332,4357,4621,0.6994674693216022,0.5147737765466297,0.347257287124168
2699,ERCILLA,4046,3033,2593,7909,7940,8058,8142,0.511569098495385,0.3819899244332494,0.3217920079424175
2763,ESTACION CENTRAL,33167,55101,62960,126374,126168,127362,127214,0.2624511371009859,0.4367272208483926,0.4943389708076192
2645,FLORIDA,5644,4922,3757,10124,10199,10269,10451,0.5574871592256025,0.482596332973821,0.3658584088031941
2679,FREIRE,9229,9306,7670,21997,22184,22759,22845,0.4195572123471382,0.4194915254237288,0.3370095346895733
2524,FREIRINA,3186,2663,2701,5591,5682,5899,6019,0.5698443927741013,0.4686730024639211,0.4578742159688083
2710,FRESIA,6467,5881,4683,11851,12019,12123,12233,0.5456923466374146,0.4893085947250187,0.3862905221479832
2711,FRUTILLAR,8244,7519,7908,14843,15232,16376,16778,0.5554133261470053,0.4936318277310924,0.4829018075232047
2734,FUTALEUFU,1521,953,965,3609,3631,3794,3856,0.4214463840399003,0.2624621316441752,0.2543489720611492
2819,FUTRONO,6546,6067,5712,13700,13949,14439,14637,0.4778102189781022,0.4349415728726074,0.3955952628298359
2680,GALVARINO,6480,5380,3753,11821,11929,11998,12157,0.5481769731833178,0.4510017604157934,0.3128021336889482
2825,GENERAL LAGOS,1237,598,313,2600,2421,2158,2006,0.4757692307692308,0.2470053696819496,0.1450417052826691
2681,GORBEA,7198,6853,5419,15308,15396,15478,15659,0.4702116540371048,0.4451156144453105,0.3501098333117974
2584,GRANEROS,12695,12777,15292,25563,25837,26614,26877,0.4966162031060517,0.4945233579749971,0.574584804989855
2741,GUAITECAS,1028,576,607,1618,1590,1594,1744,0.6353522867737948,0.3622641509433962,0.3808030112923463
2560,HIJUELAS,7211,6685,7648,14637,14810,15422,15609,0.4926555988248958,0.4513841998649561,0.4959149267280508
2735,HUALAIHUE,3938,3479,2871,7931,8119,8395,8692,0.4965325936199723,0.4285010469269615,0.3419892793329363
2626,HUALAÑE,6140,4732,4118,9232,9318,9580,9784,0.6650779896013865,0.5078342992058381,0.4298538622129436
2653,HUALPEN,27649,38059,43479,75974,76227,77416,77561,0.3639271329665412,0.4992850302386294,0.5616280872171128
2646,HUALQUI,8870,9086,9420,18967,19339,20096,20524,0.4676543470237781,0.4698278090904389,0.46875
2506,HUARA,2351,1571,1529,9294,9046,9041,9373,0.2529588982139014,0.1736679195224408,0.1691184603473067
2525,HUASCO,4246,3601,4236,7865,8030,8326,8409,0.5398601398601398,0.4484433374844334,0.508767715589719
2764,HUECHURABA,25569,35684,45939,66640,68039,72756,73498,0.3836884753901561,0.5244639104043269,0.6314118423222826
2532,ILLAPEL,12369,12098,12633,26737,27019,27634,27921,0.4626173467479523,0.4477589844183723,0.4571542302960122
2765,INDEPENDENCIA,23076,33945,38452,77520,78356,81550,82629,0.2976780185758514,0.4332150696819644,0.4715144083384427
2501,IQUIQUE,46406,67854,80220,157867,160432,167867,167553,0.2939563049909101,0.4229455470230378,0.4778783203369334
2807,ISLA DE MAIPO,8958,12833,15226,25244,25766,27290,27965,0.3548565995880209,0.4980594582007297,0.5579333089043605
2548,ISLA DE PASCUA,2418,1981,2726,5148,5302,6053,6299,0.4696969696969697,0.3736325914749151,0.4503551957706922
2544,JUAN FERNANDEZ,532,307,439,870,853,917,979,0.6114942528735632,0.3599062133645956,0.4787350054525627
2766,LA CISTERNA,21537,41212,45870,84017,83686,83559,83246,0.2563409786114715,0.4924599096623091,0.5489534341004559
2561,LA CRUZ,7491,7692,9006,13958,14333,15760,16329,0.5366814729903998,0.5366636433405428,0.5714467005076143
2597,LA ESTRELLA,2528,1659,1484,3563,3458,3456,3738,0.7095144541117037,0.4797570850202429,0.4293981481481481
2767,LA FLORIDA,85980,156158,181946,299996,301998,307743,307414,0.2866038213842851,0.5170828945887059,0.5912270953360433
2768,LA GRANJA,22351,45784,57302,105549,105302,104909,103905,0.2117594671669083,0.4347875633891094,0.546206712484153
2529,LA HIGUERA,2458,1822,1564,4168,4162,4286,4505,0.5897312859884837,0.4377703027390678,0.3649090060662623
2553,LA LIGUA,14634,14765,16001,28904,29355,30147,30181,0.5062967063382231,0.5029807528530063,0.5307659136895877
2769,LA PINTANA,29068,50714,72103,136563,137423,139554,139100,0.2128541405798057,0.3690357509296115,0.5166673832351635
2770,LA REINA,33369,54664,59192,90053,89772,91690,91556,0.3705484547988407,0.6089203760638061,0.6455665830515869
2526,LA SERENA,39130,76372,90133,156538,160944,172217,174853,0.2499712529864953,0.4745253007257183,0.5233687731176365
2818,LA UNION,14212,16071,14097,34977,35313,35500,35754,0.4063241558738599,0.4551015206864328,0.3970985915492958
2820,LAGO RANCO,4663,4064,3348,8865,8982,9253,9453,0.5260011280315848,0.4524604765085727,0.3618285961309846
2738,LAGO VERDE,903,453,373,1301,1196,1159,1329,0.6940814757878555,0.3787625418060201,0.3218291630716135
2748,LAGUNA BLANCA,555,313,201,1014,944,826,856,0.5473372781065089,0.3315677966101695,0.2433414043583535
2664,LAJA,9709,9344,9327,21053,21252,21446,21610,0.4611694295349831,0.4396762657632223,0.4349062762286673
2794,LAMPA,17496,23479,31387,47225,49911,57086,59623,0.3704817363684489,0.4704173428703092,0.5498195704726203
2812,LANCO,7238,7263,6697,15542,15702,16031,16266,0.46570582936559,0.4625525410775697,0.4177531033622356
