COD_PACTO,COD_ZONA,LETRA_PACTO,GLOSA_PACTO,COD_IMFD,GLOSA_IMFD,COD_SERVEL,GLOSA_SERVEL
257,6019,XJ,"FUERZA SOCIAL DE ÑUBLE, LA LISTA DEL PUEBLO (D19)",10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
999,6001,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6002,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6003,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6004,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6006,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6009,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6010,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6011,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6012,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6015,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6016,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6019,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6020,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6023,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6025,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
999,6026,,INDEPENDIENTES,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
282,6010,H,INDEPENDIENTES COMO TU (D10),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
179,6011,ZY,INDEPENDIENTES CON CHILE (D11),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
259,6002,A,INDEPENDIENTES DE TARAPACA (D2),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
198,6019,YF,INDEPENDIENTES DE ÑUBLE POR LA NUEVA CONSTITUCION (D19),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
300,6005,WI,INDEPENDIENTES DEL APRUEBO REGION COQUIMBO,11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
171,6020,I,INDEPENDIENTES DEL BIOBIO POR UNA NUEVA CONSTITUCION (D20),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
204,6003,L,INDEPENDIENTES DEL NORTE GRANDE POR UNA NUEVA CONSTITUCION (D3),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
211,6006,S,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
181,6026,ZA,INDEPENDIENTES NUEVA CONSTITUCION (D26),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
261,6010,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION  (D10),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
260,6011,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D11),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
275,6014,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D14),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
289,6017,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D17),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
239,6022,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D22),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
240,6023,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D23),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
228,6024,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D24),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
196,6025,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D25),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
308,6004,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D4),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
262,6006,ZT,INDEPENDIENTES POR LA NUEVA CONSTITUCION (D6),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
301,6005,WB,INDEPENDIENTES POR LA REGION DE COQUIMBO (D5),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
303,6001,YV,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
268,6012,YV,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D12),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
227,6021,YV,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
199,6007,YV,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
273,6009,YV,INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D9),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
288,6013,YS,INDEPENDIENTES SIN PADRINOS (D13),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
